Row,Median
EX_co,-20.042
EX_h2,-33.042
EX_co2,3.715343653602474
ACK,7.1790528123315935
ENO,-0.06486319935200283
EX_H+,5.347127532226991
FRUK,0.009814775977078583
EX_pi,-0.02273364306645055
GLNS,0.034450451207667564
FBA,-0.019378383553820534
HSDH,-0.0644548321496636
MTHFR,7.207761590023427
ACLDC,0.05013222706362441
ASPTA,-0.11139425736147786
FTHFL,7.232551350382892
FRUpts,0.008279184707685516
ACALDx,0.04310573540373497
ACALDy,-0.1978027443224173
MTHFC,-7.2242289159454565
GLUD,-0.18222833577497718
PIt,0.024662727584912836
EX_nh3,-0.21110688375925335
BTDDx,-4.61042780005933
BTDDy,4.578811065650566
GAPDH,-0.06218582873767298
ATPase,10.55101178651694
MTHFD,-7.22428798111069
FUM,-0.017876236510095362
PFOR,-0.3712609179819113
ALCDx,2.5223316924485033
ALCDy,0.0
ASPT,0.006508179917677381
FBP,0.03411035715397337
ASPK,0.07741220925622358
LACt,-5.534666026818513e-06
EX_lac,0.0
LDH,-8.134852777175183e-06
PGM,0.06532564611913366
PTA,7.178826788412209
ASAD,0.07452481762469076
PPCK,0.08469518381525598
PGK,-0.06156177636833382
TPI,0.033282649098647865
PPA,0.057174176215330816
ATPM,8.341005981547365
EX_h2o,-2.1570549991635914
MDH,0.016257561540674592
PC,0.1970252436850286
CODH,12.716518101592209
FDH,-1.1369963041241498
CODH__ACS,7.195681249676834
METR,7.195903624164199
HCO3E,-0.23587621784263835
EX_etoh,2.6635949627771383
EX_thf,2.5942567754557138e-06
RNF,21.172879408399382
ACt,-4.363959238996822
EX_ac,4.3638262633898615
ACLS,0.07146448150028643
HYDFDNy,1.7935944600246045
HYDFDNx,0.7540970861729568
EX_bdoh,0.05027145059329156
FRNDPR,-0.16804129986066307
EX_biomass,0.023509912922900385
FHL,10.569235543286501
ACAFDOR,2.7660848131964446
FRUpts2,-0.00997141794240708
FORt,-1.0175077287765113
EX_for,1.0175594611178278
BIOMASS,0.020070578069448605
